name_cap_2,num_rom_ca,Shape_Leng,Shape_Area
COCOS ISLANDS - 1,I-NE,56288.10300000000,197997231.64500001000
COCOS ISLANDS - 2,I-SE,56301.44480000000,198090056.79400000000
COCOS ISLANDS - 4,I-NW,56288.10320000000,197997233.06799999000
COCOS ISLANDS - 3,I-SW,56301.44500000000,198090058.21799999000
CHRISTMAS ISLAND-1,III-SE,56127.99770000000,196883304.13499999000
CHRISTMAS ISLAND-2,IV-NE,56139.44240000000,196962930.25999999000
CHRISTMAS ISLAND-3,IV-NW,56139.44270000000,196962932.37099999000
COCOS ISLANDS - 5,II-NW,56261.86300000000,197814667.67899999000
CHRISTMAS ISLAND-4,III-SW,56127.99760000000,196883303.43900001000
ROTTNEST ISLAND,ROTTNEST ISLAND,60647.71030000000,228329060.92399999000
EUCLA-SE,4634-I-SE,60535.29140000000,227546909.63299999000
PINCOMBE RANGE-SW,4666-I-SW,56736.50180000000,201116952.00999999000
BURT RANGE-NW,4666-II-NW,56754.29330000000,201240735.83199999000
EUCLA-SW,4634-I-SW,60535.29140000000,227546909.63299999000
IVANHOE-SE,4666-IV-SE,56736.50160000000,201116950.59099999000
DECEPTION RANGE-NE,4666-III-NE,56754.29320000000,201240735.08199999000
WYNDHAM-NE,4567-III-NE,56684.08100000000,200752235.93599999000
WYNDHAM-SE,4567-III-SE,56701.39600000000,200872704.49700001000
MOUNT ERSKINE-NE,4566-IV-NE,56718.86940000000,200994275.12099999000
WYNDHAM-NW,4567-III-NW,56684.08130000000,200752238.07499999000
WYNDHAM-SW,4567-III-SW,56701.39620000000,200872705.94100001000
MOUNT ERSKINE-NW,4566-IV-NW,56718.86960000000,200994276.56600001000
SOPHIE DOWNS-SW,4461-I-SW,57123.24380000000,203807697.13000000000
PALM SPRINGS-NW,4461-II-NW,57144.32520000000,203954370.29899999000
HALLS CREEK-SE,4461-IV-SE,57123.24400000000,203807698.59500000000
FITZROY CROSSING-SW,4061-IV-SW,57123.24380000000,203807697.13000000000
HALL POINT-SE,3766-I-SE,56736.50160000000,201116950.59099999000
CAMBALLIN-SE,3762-III-SE,57081.58900000000,203517885.18599999000
ADVANCE-NW,3665-I-NW,56790.35600000000,201491640.86399999000
ADVANCE-SW,3665-I-SW,56808.62820000000,201618769.11399999000
YARRADA HILL-NW,3663-II-NW,56980.39000000000,202813796.43300000000
DERBY-NE,3663-III-NE,56980.38980000000,202813794.97499999000
DERBY-SE,3663-III-SE,57000.29620000000,202952293.11899999000
DERBY-NW,3663-III-NW,56980.39000000000,202813796.43300000000
BURTVILLE-NE,3440-III-NE,59591.83560000000,220982845.95400000000
NERIDUP-SW,3430-IV-SW,61276.23050000000,232701969.96300000000
ORLEANS-NW,3430-III-NW,61325.02220000000,233041436.80500001000
ORLEANS-SW,3430-III-SW,61374.11640000000,233383008.13999999000
LAVERTON-NE,3340-I-NE,59516.09060000000,220455852.52900001000
LAVERTON-SE,3340-I-SE,59553.84260000000,220718510.86700001000
LINDEN-NE,3339-II-NE,59746.24760000000,222057162.52599999000
ROEBUCK PLAINS-SW,3362-II-SW,57081.58920000000,203517886.64800000000
EDJUDINA-NW,3338-II-NW,59904.62280000000,223159052.93599999000
BROOME-SE,3362-III-SE,57081.58900000000,203517885.18599999000
PEARL SHOALS-NE,3361-IV-NE,57102.33210000000,203662204.68000001000
MOUNT MORGANS-NE,3340-III-NE,59591.83560000000,220982845.95400000000
KURNALPI-NE,3336-IV-NE,60149.80020000000,224864866.88699999000
MOUNT MORGANS-NW,3340-III-NW,59591.83580000000,220982847.54200000000
YUNDAMINDERA-NW,3339-IV-NW,59668.55150000000,221516594.48500001000
YUNDAMINDERA-SW,3339-IV-SW,59707.27640000000,221786021.64300001000
ESPERANCE-NE,3230-II-NE,61325.02210000000,233041435.82600001000
ESPERANCE-SE,3230-II-SE,61374.11610000000,233383005.91000000000
REDCASTLE-SW,3240-II-SW,59630.07160000000,221248871.70600000000
RAESIDE-SW,3239-II-SW,59785.46660000000,222330027.46900001000
KALPINI-NW,3237-II-NW,60067.04500000000,224289100.43900001000
LILLIS-SW,3236-I-SW,60191.56900000000,225155471.98300001000
YINDARLGOODA-NW,3236-II-NW,60233.60040000000,225447904.11000001000
NORSEMAN-SW,3233-I-SW,60713.68850000000,228788101.90099999000
WOOLYEENYER-SW,3233-II-SW,60804.56400000000,229420365.17100000000
BOSTOCK SWAMP-SW,3231-II-SW,61179.54740000000,232029300.50999999000
JENABILLUP-SW,3230-I-SW,61276.23030000000,232701968.57200000000
ESPERANCE-NW,3230-II-NW,61325.02210000000,233041435.82600001000
ESPERANCE-SW,3230-II-SW,61374.11610000000,233383005.76699999000
GINDALBIE-NE,3237-III-NE,60067.04480000000,224289098.82800001000
KANOWNA-SE,3236-IV-SE,60191.56920000000,225155473.60100001000
GOLDEN RIDGE-NE,3236-III-NE,60233.60060000000,225447905.72999999000
KAMBALDA-SE,3235-IV-SE,60361.28380000000,226336257.41600001000
MOUNT EATON-SE,3234-IV-SE,60535.29140000000,227546909.63299999000
PIONEER-NE,3234-III-NE,60579.47560000000,227854319.79800001000
SALMON GUMS-SE,3232-III-SE,60989.73300000000,230708672.59099999000
RED LAKE-SE,3231-IV-SE,61084.05260000000,231364898.20400000000
SCADDAN-SE,3231-III-SE,61179.54720000000,232029298.84200001000
MERTONDALE-SW,3240-IV-SW,59553.84240000000,220718509.47499999000
BENALLA-SW,3240-III-SW,59630.07160000000,221248871.70600000000
GINDALBIE-SW,3237-III-SW,60108.29260000000,224576079.08199999000
KANOWNA-NW,3236-IV-NW,60149.80040000000,224864868.27900001000
KANOWNA-SW,3236-IV-SW,60191.56900000000,225155471.98300001000
GOLDEN RIDGE-NW,3236-III-NW,60233.60040000000,225447904.11000001000
GOLDEN RIDGE-SW,3236-III-SW,60275.89560000000,225742171.61700001000
KAMBALDA-SW,3235-IV-SW,60361.28390000000,226336258.11199999000
WIDGIEMOOLTHA-NW,3235-III-NW,60404.37960000000,226636095.19200000000
WIDGIEMOOLTHA-SW,3235-III-SW,60447.74520000000,226937809.97499999000
SALMON GUMS-NW,3232-III-NW,60943.00930000000,230383594.06900001000
SALMON GUMS-SW,3232-III-SW,60989.73310000000,230708673.55399999000
CAITUP-SW,3230-IV-SW,61276.23020000000,232701967.73600000000
MELITA-SE,3139-I-SE,59707.27640000000,221786021.84599999000
NIAGARA-NE,3139-II-NE,59746.24790000000,222057164.71500000000
NIAGARA-SE,3139-II-SE,59785.46660000000,222330027.46900001000
BROAD ARROW-SE,3137-II-SE,60108.29280000000,224576080.69600001000
KALGOORLIE-SE,3136-I-SE,60191.56920000000,225155473.60100001000
BOULDER-NE,3136-II-NE,60233.60060000000,225447905.72999999000
LORT-NE,3130-I-NE,61227.73930000000,232364593.98199999000
LORT-SE,3130-I-SE,61276.23040000000,232701969.40799999000
MOONANUP-NE,3130-II-NE,61325.02220000000,233041436.80500001000
DARLOT-SW,3142-II-SW,59330.91090000000,219167470.84799999000
LEONORA-NW,3140-II-NW,59591.83580000000,220982847.34500000000
LEONORA-SW,3140-II-SW,59630.07160000000,221248871.70600000000
BROAD ARROW-NW,3137-II-NW,60067.04480000000,224289098.82800001000
BROAD ARROW-SW,3137-II-SW,60108.29260000000,224576079.08199999000
KALGOORLIE-NW,3136-I-NW,60149.80040000000,224864868.27900001000
BOULDER-NW,3136-II-NW,60233.60040000000,225447904.11000001000
LORT-NW,3130-I-NW,61227.73920000000,232364593.14700001000
LORT-SW,3130-I-SW,61276.23020000000,232701967.73500001000
MOONANUP-NW,3130-II-NW,61325.02200000000,233041435.13000000000
COMET VALE-SE,3138-III-SE,59944.84560000000,223438901.78600001000
SCOTIA-NE,3137-IV-NE,59985.32270000000,223720520.02800000000
KUNANALLING-NE,3136-IV-NE,60149.80060000000,224864869.89500001000
KUNANALLING-SE,3136-IV-SE,60191.56920000000,225155473.60100001000
COOLGARDIE-NE,3136-III-NE,60233.60050000000,225447904.91999999000
COOLGARDIE-SE,3136-III-SE,60275.89540000000,225742170.22499999000
